프롬프트로 유사도 평가를 요청하고 점수를 비교하는 식으로 검증

항목명(영문),항목명(국문),항목크기,항목구분,샘플데이터,항목설명
rnum,일련번호,10,1,1,item 번호
hpid,기관코드,10,1,A0000000,기관ID : 동일테이블에 기관명을 포함하고 있음
phpid,기관코드,10,1,A0000000,구기관코드
hvidate,입력일시,8,1,2013-10-01 오후1:14:12,입력일시
hvec,일반,3,1,32,일반(응급실일반병상)
hvoc,[기타] 수술실,4,1,3,[기타] 수술실
hvcc,[중환자실] 신경과,4,1,0,[중환자실] 신경과
hvncc,[중환자실] 신생아,4,1,0,[중환자실] 신생아
hvccc,[중환자실] 흉부외과,4,1,8,[중환자실] 흉부외과
hvicc,[중환자실] 일반,4,1,8,[중환자실] 일반
hvgc,[입원실] 일반,4,1,253,[입원실] 일반
hvdnm,당직의,20,1,홍길동,당직의
hvctayn,CT가용(가/부),1,1,Y,CT가용(가/부)
hvmriayn,MRI가용(가/부),1,1,Y,MRI가용(가/부)
hvangioayn,혈관촬영기가용(가/부),1,1,Y,혈관촬영기가용(가/부)
hvventiayn,인공호흡기가용(가/부),1,1,Y,인공호흡기가용(가/부)
hvventisoayn,인공호흡기 조산아가용(가/부),2,2,Y, N1,인공호흡기 조산아가용(가/부)
hvincuayn,인큐베이터가용(가/부),2,2,Y, N1,인큐베이터가용(가/부)
hvcrrtayn,CRRT가용(가/부),2,2,Y, N1,CRRT가용(가/부)
hvecmoayn,ECMO가용(가/부),2,2,Y, N1,ECMO가용(가/부)
hvoxyayn,고압산소치료기가용(가/부),2,2,Y, N1,고압산소치료기가용(가/부)
hvhypoayn,중심체온조절유도기(가/부),2,2,Y, N1,중심체온조절유도기
hvamyn,구급차가용여부,1,1,Y,구급차가용여부
hv1,응급실 당직의 직통연락처,20,1,02-XXXX-XXXX,응급실 당직의 직통연락처
hv2,[중환자실] 내과,20,1,3,[중환자실] 내과
hv3,[중환자실] 외과,20,0,6,[중환자실] 외과
hv4,외과입원실(정형외과),20,0,6,외과입원실(정형외과)
hv5,신경과입원실,20,1,3,신경과입원실
hv6,[중환자실] 신경외과,20,1,0,[중환자실] 신경외과
hv7,약물중환자,20,1,0,약물중환자
hv8,[중환자실] 화상,20,1,0,[중환자실] 화상
hv9,[중환자실] 외상,20,1,0,[중환자실] 외상
hv10,VENTI(소아),20,1,Y,VENTI(소아)
hv11,인큐베이터(보육기),20,1,Y,인큐베이터(보육기)
hv12,소아당직의 직통연락처,20,1,02-XXXX-XXXX,소아당직의 직통연락처
hv13,격리진료구역 음압격리병상,20,1,0,격리진료구역 음압격리병상
hv14,격리진료구역 일반격리병상,20,1,0,격리진료구역 일반격리병상
hv15,소아음압격리,20,1,0,소아음압격리
hv16,소아일반격리,20,1,0,소아일반격리
hv17,[응급전용] 중환자실 음압격리,20,1,0,[응급전용] 중환자실 음압격리
hv18,[응급전용] 중환자실 일반격리,20,1,0,[응급전용] 중환자실 일반격리
hv19,[응급전용] 입원실 음압격리,20,1,0,[응급전용] 입원실 음압격리
hv21,[응급전용] 입원실 일반격리,20,1,0,[응급전용] 입원실 일반격리
hv22,감염병 전담병상 ,중환자실,20,1,0,감염병 전담병상 중환자실
hv23,감염병 전담병상 중환자실 내 음압격리병상,20,1,0,감염병 전담병상 중환자실 내 음압격리병상
hv24,[감염] 중증 병상,20,1,0,[감염] 중증 병상
hv25,[감염] 준-중증 병상,20,1,0,[감염] 준-중증 병상
hv26,[감염] 중등증 병상,20,1,0,[감염] 중등증 병상
hv27,코호트 격리,20,1,0,코호트 격리
hv28,소아,20,1,0,소아
hv29,응급실 음압 격리 병상,20,1,0,응급실 음압 격리 병상
hv30,응급실 일반 격리 병상,20,1,0,응급실 일반 격리 병상
hv31,[응급전용] 중환자실,20,1,0,[응급전용] 중환자실
hv32,[중환자실] 소아,20,1,0,[중환자실] 소아
hv33,[응급전용] 소아중환자실,20,1,0,[응급전용] 소아중환자실
hv34,[중환자실] 심장내과,20,1,0,[중환자실] 심장내과
